Step,episode_reward
108517,237.0
109517,1000.0
110517,1000.0
111021,504.0
112021,1000.0
113021,1000.0
114021,1000.0
115021,1000.0
116021,1000.0
117021,1000.0
118021,1000.0
119021,1000.0
120021,1000.0
120357,336.0
120476,119.0
121476,1000.0
122476,1000.0
123476,1000.0
124476,1000.0
125476,1000.0
126476,1000.0
127476,1000.0
128476,1000.0
129476,1000.0
130476,1000.0
131476,1000.0
132476,1000.0
133476,1000.0
134476,1000.0
135476,1000.0
136476,1000.0
137476,1000.0
138476,1000.0
139476,1000.0
140476,1000.0
141476,1000.0
142476,1000.0
143476,1000.0
144476,1000.0
145338,862.0
146338,1000.0
147338,1000.0
148338,1000.0
149338,1000.0
150338,1000.0
151338,1000.0
152338,1000.0
153338,1000.0
154338,1000.0
155338,1000.0
156338,1000.0
157338,1000.0
158338,1000.0
159338,1000.0
160338,1000.0
161338,1000.0
162338,1000.0
162815,477.0
163815,1000.0
164815,1000.0
165815,1000.0
166815,1000.0
167815,1000.0
168171,356.0
169171,1000.0
170171,1000.0
171171,1000.0
172171,1000.0
172966,795.0
173966,1000.0
174966,1000.0
175966,1000.0
176966,1000.0
177966,1000.0
178966,1000.0
179966,1000.0
180966,1000.0
181966,1000.0
182966,1000.0
183966,1000.0
184966,1000.0
185966,1000.0
186966,1000.0
187966,1000.0
188966,1000.0
189966,1000.0
190966,1000.0
191966,1000.0
192966,1000.0
193966,1000.0
194966,1000.0
195966,1000.0
196966,1000.0
197966,1000.0
198966,1000.0
199966,1000.0
200966,1000.0
201966,1000.0
202966,1000.0
203966,1000.0
204966,1000.0
205966,1000.0
206163,197.0
206611,448.0
207611,1000.0
208611,1000.0
209611,1000.0
210611,1000.0
211611,1000.0
212611,1000.0
213611,1000.0
214611,1000.0
215611,1000.0
216611,1000.0
217611,1000.0
218065,454.0
218323,258.0
218659,336.0
219323,664.0
220323,1000.0
221323,1000.0
222323,1000.0
223323,1000.0
224323,1000.0
225323,1000.0
226323,1000.0
227323,1000.0
228323,1000.0
229323,1000.0
230323,1000.0
231323,1000.0
232323,1000.0
233323,1000.0
234323,1000.0
235323,1000.0
236323,1000.0
237323,1000.0
238323,1000.0
239323,1000.0
240323,1000.0
241323,1000.0
242323,1000.0
243323,1000.0
244323,1000.0
245323,1000.0
246323,1000.0
247323,1000.0
248323,1000.0
249323,1000.0
250323,1000.0
251323,1000.0
252323,1000.0
253323,1000.0
254323,1000.0
255323,1000.0
256323,1000.0
257323,1000.0
258323,1000.0
258882,559.0
259882,1000.0
260882,1000.0
261882,1000.0
262882,1000.0
263882,1000.0
264882,1000.0
265882,1000.0
266882,1000.0
267882,1000.0
268882,1000.0
269882,1000.0
270882,1000.0
271882,1000.0
272882,1000.0
273882,1000.0
274882,1000.0
275510,628.0
276510,1000.0
277510,1000.0
278510,1000.0
279510,1000.0
280510,1000.0
281510,1000.0
282510,1000.0
283510,1000.0
284510,1000.0
285510,1000.0
286510,1000.0
287510,1000.0
288510,1000.0
289510,1000.0
290510,1000.0
291510,1000.0
292510,1000.0
293510,1000.0
294510,1000.0
295510,1000.0
296510,1000.0
297510,1000.0
298510,1000.0
299510,1000.0
300000,490.0
